Index,Humidity,Temperature,UV Power,Power,Pressure
66,58,18,270,1400218,101.78
67,58,18,270,1400218,101.78
68,58,18,270,1400218,101.78
69,58,18,270,1400218,101.78
70,58,18,270,1400218,101.78
71,58,18,270,1400218,101.78
72,58,18,270,1400218,101.78
73,58,18,270,1400218,101.78
74,58,18,270,1400218,101.78
75,58,18,270,1400218,101.78
76,58,18,270,1400218,101.78
77,58,18,270,1400218,101.78
78,58,18,270,1400218,101.78
79,58,18,270,1400218,101.78
80,58,18,270,1400218,101.78
81,58,18,270,1400218,101.78
82,58,18,270,1400218,101.78
83,58,18,270,1400218,101.78
84,58,18,270,1400218,101.78
85,58,18,270,1400218,101.78
86,58,18,270,1400218,101.78
87,58,18,270,1400218,101.78
88,58,18,270,1400218,101.78
89,58,18,270,1400218,101.78
90,58,18,270,1400218,101.78
91,58,18,270,1400218,101.78
92,58,18,270,1400218,101.78
93,58,18,270,1400218,101.78
94,58,18,270,1400218,101.78
95,58,18,270,1400218,101.78
96,58,18,270,1400218,101.78
97,58,18,270,1400218,101.78
98,58,18,270,1400218,101.78
99,58,18,270,1400218,101.78
100,58,18,270,1400218,101.78
101,58,18,270,1400218,101.78
102,58,18,270,1400218,101.78
103,58,18,270,1400218,101.78
104,58,18,270,1400218,101.78
105,58,18,270,1400218,101.78
106,58,18,270,1400218,101.78
107,58,18,270,1400218,101.78
108,58,18,270,1400218,101.78
109,58,18,270,1400218,101.78
110,58,18,270,1400218,101.78
111,58,18,270,1400218,101.78
112,58,18,270,1400218,101.78
113,58,18,270,1400218,101.78
114,58,18,270,1400218,101.78
115,58,18,270,1400218,101.78
116,58,18,270,1400218,101.78
117,58,18,270,1400218,101.78
118,58,18,270,1400218,101.78
119,58,18,270,1400218,101.78
120,58,18,270,1400218,101.78
121,58,18,270,1400218,101.78
122,58,18,270,1400218,101.78
123,58,18,270,1400218,101.78
124,58,18,270,1400218,101.78
125,58,18,270,1400218,101.78
126,58,18,270,1400218,101.78
127,58,18,270,1400218,101.78
128,58,18,270,1400218,101.78
129,58,18,270,1400218,101.78
130,58,18,270,1400218,101.78
131,58,18,270,1400218,101.78
132,58,18,270,1400218,101.78
133,58,18,270,1400218,101.78
134,58,18,270,1400218,101.78
135,58,18,270,1400218,101.78
136,58,18,270,1400218,101.78
137,58,18,270,1400218,101.78
138,58,18,270,1400218,101.78
139,58,18,270,1400218,101.78
140,58,18,270,1400218,101.78
141,58,18,270,1400218,101.78
142,58,18,270,1400218,101.78
143,58,18,270,1400218,101.78
144,58,18,270,1400218,101.78
145,58,18,270,1400218,101.78
146,58,18,270,1400218,101.78
147,58,18,270,1400218,101.78
148,58,18,270,1400218,101.78
149,58,18,270,1400218,101.78
150,58,18,270,1400218,101.78
151,58,18,270,1400218,101.78
152,58,18,270,1400218,101.78
153,58,18,270,1400218,101.78
154,58,18,270,1400218,101.78
155,58,18,270,1400218,101.78
156,58,18,270,1400218,101.78
157,58,18,270,1400218,101.78
158,58,18,270,1400218,101.78
159,58,18,270,1400218,101.78
160,58,18,270,1400218,101.78
161,58,18,270,1400218,101.78
162,58,18,270,1400218,101.78
163,58,18,270,1400218,101.78
164,58,18,270,1400218,101.78
165,58,18,270,1400218,101.78
166,58,18,270,1400218,101.78
167,58,18,270,1400218,101.78
168,58,18,270,1400218,101.78
169,58,18,270,1400218,101.78
170,58,18,270,1400218,101.78
171,58,18,270,1400218,101.78
172,58,18,270,1400218,101.78
173,58,18,270,1400218,101.78
174,58,18,270,1400218,101.78
175,58,18,270,1400218,101.78
176,58,18,270,1400218,101.78
177,58,18,270,1400218,101.78
178,58,18,270,1400218,101.78
179,58,18,270,1400218,101.78
180,58,18,270,1400218,101.78
181,58,18,270,1400218,101.78
182,58,18,270,1400218,101.78
183,58,18,270,1400218,101.78
184,58,18,270,1400218,101.78
185,58,18,270,1400218,101.78
186,58,18,270,1400218,101.78
187,58,18,270,1400218,101.78
188,58,18,270,1400218,101.78
189,58,18,270,1400218,101.78
190,58,18,270,1400218,101.78
191,58,18,270,1400218,101.78
192,58,18,270,1400218,101.78
193,58,18,270,1400218,101.78
194,58,18,270,1400218,101.78
195,58,18,270,1400218,101.78
196,58,18,270,1400218,101.78
197,58,18,270,1400218,101.78
198,58,18,270,1400218,101.78
199,58,18,270,1400218,101.78
200,58,18,270,1400218,101.78
201,58,18,270,1400218,101.78
202,58,18,270,1400218,101.78
203,58,18,270,1400218,101.78
204,58,18,270,1400218,101.78
205,58,18,270,1400218,101.78
206,58,18,270,1400218,101.78
207,58,18,270,1400218,101.78
208,58,18,270,1400218,101.78
209,58,18,270,1400218,101.78
210,58,18,270,1400218,101.78
211,58,18,270,1400218,101.78
212,58,18,270,1400218,101.78
213,58,18,270,1400218,101.78
214,58,18,270,1400218,101.78
215,58,18,270,1400218,101.78
216,58,18,270,1400218,101.78
217,58,18,270,1400218,101.78
218,58,18,270,1400218,101.78
219,58,18,270,1400218,101.78
